vendor_latitude,vendor_longitude,recipient_latitude,recipient_longitude,vendor Name,Vendor City,Vendor Postcode,Total Shipment Weight (kg),Total Volume (cbm),Requested Delivery,Requested Loading,Calculated Loading Meters,Total Gross Weight
0,0,47.6062,-122.3321,Vendor 1, San Francisco ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 2, Chicago       ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 3, Houston       ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 4, Los Angeles   ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 5, New York      ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 6, Miami         ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 7, Mexico City   ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 8, Guadalajara   ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 9, Monterrey     ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 10, Vancouver     ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 11, Toronto       ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 12, Montreal      ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 13, San Francisco ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 14, Chicago       ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 15, Houston       ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 16, Los Angeles   ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 17, New York      ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 18, Miami         ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 19, Mexico City   ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 20, Guadalajara   ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 21, Monterrey     ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 22, Vancouver     ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 23, Toronto       ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 24, Montreal      ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 25, San Francisco ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 26, Chicago       ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 27, Houston       ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 28, Los Angeles   ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 29, New York      ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 30, Miami         ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 31, Mexico City   ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 32, Guadalajara   ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 33, Monterrey     ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 34, Vancouver     ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 35, Toronto       ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 36, Montreal      ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 37, San Francisco ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 38, Chicago       ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 39, Houston       ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 40, Los Angeles   ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 41, New York      ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 42, Miami         ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 43, Mexico City   ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 44, Guadalajara   ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 45, Monterrey     ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 46, Vancouver     ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 47, Toronto       ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 48, Montreal      ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 49, San Francisco ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 50, Chicago       ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 51, New York      ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 52, Los Angeles   ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 53, Chicago       ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 54, Miami         ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 55, Houston       ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 56, New York      ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 57, Mexico City   ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
0,0,47.6062,-122.3321,Vendor 58, Guadalajara   ,,0,0,2025-12-17 13:47:53,2025-12-17 13:47:53,0.0,0
